state,year,month,new_cases,new_deaths,year-month,case_id
AS,2020,Jan,0,0,2020-01,127
AS,2020,Jul,0,0,2020-07,128
AS,2020,Jun,0,0,2020-06,129
AS,2020,Mar,0,0,2020-03,130
AS,2020,May,0,0,2020-05,131
AS,2020,Nov,0,0,2020-11,132
AS,2020,Oct,0,0,2020-10,133
AS,2020,Sep,0,0,2020-09,134
AS,2021,Apr,0,0,2021-04,135
AS,2021,Aug,0,0,2021-08,136
AS,2021,Dec,1,0,2021-12,137
AS,2021,Feb,0,0,2021-02,138
AS,2021,Jan,0,0,2021-01,139
AS,2021,Jul,0,0,2021-07,140
AS,2021,Jun,0,0,2021-06,141
AS,2021,Mar,0,0,2021-03,142
AS,2021,May,0,0,2021-05,143
AS,2021,Nov,6,0,2021-11,144
AS,2021,Oct,1,0,2021-10,145
AS,2021,Sep,3,0,2021-09,146
AS,2022,Apr,855,19,2022-04,147
AS,2022,Aug,216,1,2022-08,148
AS,2022,Dec,3,0,2022-12,149
AS,2022,Feb,124,0,2022-02,150
AS,2022,Jan,11,0,2022-01,151
AS,2022,Jul,1447,2,2022-07,152
AS,2022,Jun,313,0,2022-06,153
AS,2022,Mar,4872,8,2022-03,154
AS,2022,May,319,4,2022-05,155
AS,2022,Nov,6,0,2022-11,156
AS,2022,Oct,7,0,2022-10,157
AS,2022,Sep,82,0,2022-09,158
AS,2023,Apr,3,0,2023-04,159
AS,2023,Feb,0,0,2023-02,160
AS,2023,Jan,54,0,2023-01,161
AS,2023,Mar,6,0,2023-03,162
AS,2023,May,2,0,2023-05,163
AZ,2020,Apr,8294,394,2020-04,164
AZ,2020,Aug,20651,1136,2020-08,165
AZ,2020,Dec,233701,2705,2020-12,166
AZ,2020,Feb,0,0,2020-02,167
AZ,2020,Jan,1,0,2020-01,168
AZ,2020,Jul,98095,2207,2020-07,169
AZ,2020,Jun,61761,741,2020-06,170
AZ,2020,Mar,1412,32,2020-03,171
AZ,2020,May,12647,557,2020-05,172
AZ,2020,Nov,90346,680,2020-11,173
AZ,2020,Oct,32125,406,2020-10,174
AZ,2020,Sep,15647,586,2020-09,175
AZ,2021,Apr,24201,403,2021-04,176
AZ,2021,Aug,81016,563,2021-08,177
AZ,2021,Dec,146619,2220,2021-12,178
AZ,2021,Feb,52437,2515,2021-02,179
AZ,2021,Jan,192699,4132,2021-01,180
AZ,2021,Jul,40775,354,2021-07,181
AZ,2021,Jun,12692,294,2021-06,182
AZ,2021,Mar,21991,863,2021-03,183
AZ,2021,May,16172,285,2021-05,184
AZ,2021,Nov,97423,1077,2021-11,185
AZ,2021,Oct,66690,1055,2021-10,186
AZ,2021,Sep,92167,1365,2021-09,187
AZ,2022,Apr,11427,508,2022-04,188
AZ,2022,Aug,42874,272,2022-08,189
AZ,2022,Dec,46974,560,2022-12,190
AZ,2022,Feb,90349,1338,2022-02,191
AZ,2022,Jan,466979,1799,2022-01,192
AZ,2022,Jul,65698,270,2022-07,193
AZ,2022,Jun,83096,240,2022-06,194
AZ,2022,Mar,37118,1974,2022-03,195
AZ,2022,May,37234,143,2022-05,196
AZ,2022,Nov,44532,178,2022-11,197
AZ,2022,Oct,17780,168,2022-10,198
AZ,2022,Sep,20898,291,2022-09,199
AZ,2023,Apr,14295,159,2023-04,200
AZ,2023,Feb,15857,194,2023-02,201
AZ,2023,Jan,16766,571,2023-01,202
AZ,2023,Mar,16957,182,2023-03,203
AZ,2023,May,2608,34,2023-05,204
CA,2020,Apr,50775,2155,2020-04,205
CA,2020,Aug,189852,3434,2020-08,206
CA,2020,Dec,1305238,7855,2020-12,207
CA,2020,Feb,72,1,2020-02,208
CA,2020,Jan,8,0,2020-01,209
CA,2020,Jul,294275,3541,2020-07,210
CA,2020,Jun,115279,1747,2020-06,211
CA,2020,Mar,8089,171,2020-03,212
CA,2020,May,59009,1904,2020-05,213
CA,2020,Nov,324060,1596,2020-11,214
CA,2020,Oct,134738,2118,2020-10,215
CA,2020,Sep,100828,2701,2020-09,216
CA,2021,Apr,85039,2772,2021-04,217
CA,2021,Aug,382356,1702,2021-08,218
CA,2021,Dec,765327,2231,2021-12,219
CA,2021,Feb,214604,11342,2021-02,220
CA,2021,Jan,834310,13759,2021-01,221
CA,2021,Jul,195115,1044,2021-07,222
CA,2021,Jun,28205,955,2021-06,223
CA,2021,Mar,89465,5499,2021-03,224
CA,2021,May,41381,1135,2021-05,225
CA,2021,Nov,147361,2221,2021-11,226
CA,2021,Oct,164656,2411,2021-10,227
CA,2021,Sep,302542,3759,2021-09,228
CA,2022,Apr,141856,1343,2022-04,229
CA,2022,Aug,326843,1172,2022-08,230
CA,2022,Dec,348964,1229,2022-12,231
CA,2022,Feb,451347,5323,2022-02,232
CA,2022,Jan,2684208,3545,2022-01,233
CA,2022,Jul,536361,1098,2022-07,234
CA,2022,Jun,609988,1066,2022-06,235
CA,2022,Mar,137009,3427,2022-03,236
CA,2022,May,355498,1028,2022-05,237
CA,2022,Nov,145572,615,2022-11,238
CA,2022,Oct,91542,782,2022-10,239
CA,2022,Sep,208643,1346,2022-09,240
CA,2023,Apr,48115,467,2023-04,241
CA,2023,Feb,105651,1022,2023-02,242
CA,2023,Jan,125864,1370,2023-01,243
CA,2023,Mar,92589,891,2023-03,244
CA,2023,May,9186,109,2023-05,245
CO,2020,Apr,14943,1040,2020-04,246
CO,2020,Aug,8848,100,2020-08,247
CO,2020,Dec,101003,1838,2020-12,248
CO,2020,Feb,1,0,2020-02,249
CO,2020,Jan,0,0,2020-01,250
CO,2020,Jul,16680,136,2020-07,251
CO,2020,Jun,6187,150,2020-06,252
CO,2020,Mar,3743,86,2020-03,253
CO,2020,May,9085,398,2020-05,254
CO,2020,Nov,136484,1060,2020-11,255
CO,2020,Oct,53015,275,2020-10,256
CO,2020,Sep,13579,92,2020-09,257
CO,2021,Apr,55334,214,2021-04,258
CO,2021,Aug,40903,236,2021-08,259
CO,2021,Dec,188648,1078,2021-12,260
CO,2021,Feb,30784,262,2021-02,261
CO,2021,Jan,48096,585,2021-01,262
CO,2021,Jul,21075,179,2021-07,263
CO,2021,Jun,10294,174,2021-06,264
CO,2021,Mar,29855,131,2021-03,265
CO,2021,May,23535,255,2021-05,266
CO,2021,Nov,85661,1043,2021-11,267
CO,2021,Oct,71376,685,2021-10,268
CO,2021,Sep,67533,560,2021-09,269
CO,2022,Apr,19562,49,2022-04,270
CO,2022,Aug,27236,132,2022-08,271
CO,2022,Dec,26318,237,2022-12,272
CO,2022,Feb,40732,668,2022-02,273
CO,2022,Jan,335494,1049,2022-01,274
CO,2022,Jul,46855,181,2022-07,275
CO,2022,Jun,75578,261,2022-06,276
CO,2022,Mar,13553,173,2022-03,277
CO,2022,May,46020,88,2022-05,278
CO,2022,Nov,30698,192,2022-11,279
